ValuationDate,08/08/17
BONDPY
Pfolio ,BondInstrument                        ,Security ,SectorLevel0         ,Duration ,NominalValue   ,TotalCost         ,Ex? ,CurrentYTM ,MarketValue       ,Cat
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00000679915.27,
ARCPEN,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000000003,00000000002.92, ,0040.00,00000000002.93,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00000000003,00000000002.92, ,       ,00000000002.93,
TOTAL ARCPEN                                                           ,,,,        ,00101232148,00113882115.20, ,       ,00115723393.36,
ARCPRV,ESKOM 9.25% 20/04/2018               ,ES18    ,0-1 years NominalGov,000.0000,00000103281,00000112471.38, ,0007.95,00000107052.37,FI00
ARCPRV,R203 REPUBLIC OF SOUTH AFRICA 8.250% ,R203    ,0-1 years NominalGov,000.0000,00000055643,00000059057.53, ,0006.95,00000057534.64,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00000158924,00000171528.91, ,       ,00000164587.01,
ARCPRV,SA NATIONAL ROADS AGENCY LTD 9.75% 31,HWAY20  ,1-3 years NominalGov,000.0000,00000188154,00000195444.04, ,0008.26,00000195865.66,FI00
ARCPRV,R204 REPUBLIC OF SOUTH AFRICA 8.000% ,R204    ,1-3 years NominalGov,000.0000,00000025945,00000025453.56, ,0007.08,00000026525.68,FI00
ARCPRV,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000119459,00000117587.04, ,0007.33,00000119829.14,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00000333558,00000338484.64, ,       ,00000342220.48,
ARCPRV,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00000159584,00000171873.53, ,0008.93,00000167478.64,FI00
ARCPRV,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00000352638,00000341415.65, ,0007.90,00000362296.05,FI00
ARCPRV,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000149079,00000138317.60, ,0007.48,00000149245.16,FI00
ARCPRV,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000138647,00000135308.48, ,0008.23,00000144520.11,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00000799948,00000786915.26, ,       ,00000823539.96,
ARCPRV,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00000273422,00000234558.88, ,0009.72,00000251475.21,FI00
ARCPRV,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00005229001,00005882613.35, ,0008.56,00005946096.78,FI00
ARCPRV,SA NATIONAL ROADS AGENCY LTD 9% 30/09,SZ25    ,7-12 years NominalGo,000.0000,00000099725,00000095847.43, ,0009.51,00000100077.29,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00005602148,00006213019.66, ,       ,00006297649.28,
ARCPRV,ESKOM 7.50% 15/09/2033               ,ES33    ,Over 12 years Nomina,000.0000,00003928791,00003180193.83, ,0010.77,00003073275.54,FI00
ARCPRV,ESKOM 8.5% 25/04/2042                ,ES42    ,Over 12 years Nomina,000.0000,00001053637,00000908642.68, ,0011.05,00000853174.97,FI00
ARCPRV,SA NATIONAL ROADS AGENCY LTD 9.25% 31,HWAY34  ,Over 12 years Nomina,000.0000,00000540160,00000514781.45, ,0010.66,00000482353.00,FI00
ARCPRV,R2030 REPUBLIC OF SOUTH AFRICA 8.000%,R2030   ,Over 12 years Nomina,000.0000,00000423157,00000384319.45, ,0009.12,00000389227.93,FI00
ARCPRV,R2032 REPUBLIC OF SOUTH AFRICA 8.250%,R2032   ,Over 12 years Nomina,000.0000,00005124359,00004746102.61, ,0009.35,00004831845.73,FI00
ARCPRV,R2035 REPUBLIC OF SOUTH AFRICA 8.875%,R2035   ,Over 12 years Nomina,000.0000,00005753238,00005411141.46, ,0009.60,00005628897.29,FI00
ARCPRV,R2037 REPUBLIC OF SOUTH AFRICA 8.500%,R2037   ,Over 12 years Nomina,000.0000,00005756456,00005198157.37, ,0009.69,00005173181.94,FI00
ARCPRV,R2040 REPUBLIC OF SOUTH AFRICA 9.000%,R2040   ,Over 12 years Nomina,000.0000,00014982510,00014102648.15, ,0009.83,00013896123.71,FI00
ARCPRV,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00027202673,00024780998.74, ,0009.86,00024436873.87,FI00
ARCPRV,R2048 REPUBLIC OF SOUTH AFRICA 8.750%,R2048   ,Over 12 years Nomina,000.0000,00003790029,00003387213.07, ,0009.82,00003544674.65,FI00
ARCPRV,R209 REPUBLIC OF SOUTH AFRICA 6.250% ,R209    ,Over 12 years Nomina,000.0000,00003616567,00002527048.89, ,0009.57,00002663062.37,FI00
ARCPRV,R213 REPUBLIC OF SOUTH AFRICA 7.000% ,R213A   ,Over 12 years Nomina,000.0000,00000969004,00000802704.46, ,0009.22,00000834174.55,FI00
ARCPRV,R214 REPUBLIC OF SOUTH AFRICA 7.000% ,R214    ,Over 12 years Nomina,000.0000,00005373140,00003765710.17, ,0009.75,00003925473.16,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00078513721,00069709662.33, ,       ,00069732338.71,
ARCPRV,TRANS CALEDON 5.00% 01/08/2018       ,WS05M7  ,0-1 years Govern IL ,000.0000,00001723464,00004107801.65, ,0002.98,00004298880.37,FI04
**TOTAL 0-1 years Govern IL                                            ,,,,000.0000,00001723464,00004107801.65, ,       ,00004298880.37,
ARCPRV,R197 REPUBLIC OF SOUTH AFRICA CPI 5.5,R197M7  ,3-7 years Govern IL ,000.0000,00002023663,00005866147.55, ,0002.44,00005982825.69,FI04
ARCPRV,R212 REPUBLIC OF SOUTH AFRICA CPI 2.7,R212M7  ,3-7 years Govern IL ,000.0000,00004167346,00005871633.40, ,0002.40,00006189817.77,FI04
**TOTAL 3-7 years Govern IL                                            ,,,,000.0000,00006191009,00011737780.95, ,       ,00012172643.46,
ARCPRV,I2025 REPUBLIC OF SOUTH AFRICA 2.000%,I2025M7 ,7-12 years Govt IL  ,000.0000,00000004857,00000005973.48, ,0002.48,00000006205.40,FI04
ARCPRV,R210 REPUBLIC OF SOUTH AFRICA CPI 2.6,R210M7  ,7-12 years Govt IL  ,000.0000,00001422676,00002578831.58, ,0002.47,00002635113.21,FI04
**TOTAL 7-12 years Govt IL                                             ,,,,000.0000,00001427533,00002584805.06, ,       ,00002641318.61,
ARCPRV,I2038 REPUBLIC OF SOUTH AFRICA 2.250%,I2038M7 ,Over 12 years Gov IL,000.0000,00002732291,00003496163.34, ,0002.40,00003521436.21,FI04
ARCPRV,I2046 REPUBLIC OF SOUTH AFRICA 2.500%,I2046M7 ,Over 12 years Gov IL,000.0000,00004341915,00005548922.22, ,0002.52,00005428085.85,FI04
ARCPRV,I2050 REPUBLIC OF SOUTH AFRICA 2.500%,I2050M7 ,Over 12 years Gov IL,000.0000,00004925715,00006612061.11, ,0002.50,00006513452.73,FI04
ARCPRV,R202 REPUBLIC OF SOUTH AFRICA CPI 3.4,R202M7  ,Over 12 years Gov IL,000.0000,00005268454,00012592387.96, ,0002.52,00012543589.42,FI04
**TOTAL Over 12 years Gov IL                                           ,,,,000.0000,00017268375,00028249534.63, ,       ,00028006564.21,
ARCPRV,AFRICAN BANK 9.50% 24/05/2018        ,ABK2    ,0-1 year NominalCred,000.0000,00000012000,00000012730.77, ,0010.03,00000012187.80,FI00
ARCPRV,ABS10 ABSA BANK LIMITED 9.88% 17/03/2,ABS10   ,0-1 year NominalCred,000.0000,00000112501,00000117602.98, ,0008.25,00000117928.98,FI00
ARCPRV,CITY OF JHB 9% 05/06/2018            ,COJ04   ,0-1 year NominalCred,000.0000,00000007158,00000007137.30, ,0008.09,00000007321.97,FI00
ARCPRV,FIRSTRAND 10.50% 14/04/2018          ,FRX18   ,0-1 year NominalCred,000.0000,00000036228,00000038190.63, ,0007.67,00000038093.84,FI00
ARCPRV,INVESTEC IBL49 7.335% 02/04/2018     ,IBL49   ,0-1 year NominalCred,000.0000,00000122782,00000111901.75, ,0008.26,00000125232.16,FI00
ARCPRV,IMPERIAL GRP 280917                  ,IPL6    ,0-1 year NominalCred,000.0000,00000102963,00000105486.56, ,0007.90,00000106846.38,FI00
ARCPRV,INVESTEC 13.735% 30/04/2018          ,IV08    ,0-1 year NominalCred,000.0000,00000036228,00000038044.12, ,0008.78,00000038820.72,FI00
ARCPRV,LIBERTY GROUP LGL03 03/04/2018       ,LGL03   ,0-1 year NominalCred,000.0000,00000201663,00000191856.97, ,0008.85,00000205499.97,FI00
ARCPRV,STD FIXED RATE 9.66% CALLABLE 01/12/2,SBK14   ,0-1 year NominalCred,000.0000,00000069350,00000070362.71, ,0008.05,00000070919.69,FI00
ARCPRV,STD 8.4% 100418                      ,SBK9    ,0-1 year NominalCred,000.0000,00000001581,00000001555.49, ,0008.43,00000001624.29,FI00
ARCPRV,SBS13 STANDARD BANK OF SA 8.9% 22/09/,SBS13   ,0-1 year NominalCred,000.0000,00000095338,00000097049.90, ,0007.57,00000098683.01,FI00
ARCPRV,SANTAM LTD 8% 150917 - STEP UP 15/09/,SNT01   ,0-1 year NominalCred,000.0000,00000000335,00000000327.71, ,0008.15,00000000345.96,FI00
ARCPRV,SAPPI SOUTHERN AFRICA 3MONTH JIBAR+15,SSA05   ,0-1 year NominalCred,000.0000,00000010044,00000010029.68, ,0008.41,00000010128.12,FI02
ARCPRV,TRANSNET LIMITED 17 9.25% 14/11/2017 ,TN17    ,0-1 year NominalCred,000.0000,00000213691,00000217675.84, ,0007.64,00000219134.39,FI00
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00001021862,00001019952.41, ,       ,00001052767.28,
ARCPRV,AA05 ANGLO AMERICAN SA FINANCE LTD 9.,AA05    ,1-3 years NominalCre,000.0000,00000109616,00000111758.25, ,0008.60,00000114552.52,FI00
ARCPRV,ABSA BANK LIMITED 8.295% 21/11/2018  ,AB013   ,1-3 years NominalCre,000.0000,00000020408,00000019679.35, ,0009.08,00000020581.14,FI00
ARCPRV,ABSA BANK LTD 9.26% 14/05/2020       ,ABS12   ,1-3 years NominalCre,000.0000,00000125537,00000120262.91, ,0008.91,00000129310.63,FI00
ARCPRV,ABSA 8.20% 01/06/2020                ,ABS6    ,1-3 years NominalCre,000.0000,00000026249,00000024683.46, ,0008.58,00000026404.75,FI00
ARCPRV,AIRPORTS COMPANY OF SOUTH AFRICA 8.58,AIR01   ,1-3 years NominalCre,000.0000,00000231145,00000231599.54, ,0008.43,00000239543.86,FI00
ARCPRV,BARLOW 9.8% 01/10/2018               ,BAW11   ,1-3 years NominalCre,000.0000,00000276225,00000280171.44, ,0008.58,00000289390.66,FI00
ARCPRV,DEV BANK 9.45% 15/06/2020            ,DV22    ,1-3 years NominalCre,000.0000,00000130129,00000127230.07, ,0008.54,00000132808.85,FI00
ARCPRV,ESKOM 13.5% 01 AUG 2020              ,E170    ,1-3 years NominalCre,000.0000,00000000964,00000001225.60, ,0008.22,00000001098.97,FI00
ARCPRV,FIRSTRAND 8.5% 21/12/2018            ,FRB05   ,1-3 years NominalCre,000.0000,00000181243,00000173301.13, ,0008.88,00000182403.68,FI00
ARCPRV,FIRSTRAND 12% 21/12/2018 (STEP UP DAT,FRBC21  ,1-3 years NominalCre,000.0000,00000005925,00000006096.80, ,0009.89,00000006175.01,FI00
ARCPRV,FIRSTRAND 9.00% 15/11/2019           ,FRX19   ,1-3 years NominalCre,000.0000,00000220086,00000222079.13, ,0007.90,00000229608.24,FI00
ARCPRV,INVESTEC IBL45 8% 21/12/2018         ,IBL45   ,1-3 years NominalCre,000.0000,00000116376,00000110576.27, ,0008.51,00000116851.87,FI00
ARCPRV,INVESTEC IBL46 7.25% 15/01/2020      ,IBL46   ,1-3 years NominalCre,000.0000,00000229514,00000208549.14, ,0008.96,00000222206.48,FI00
ARCPRV,INVESTEC BANK LIMITED 9.750% 20/05/20,IBL87   ,1-3 years NominalCre,000.0000,00000000288,00000000291.95, ,0008.38,00000000300.52,FI00
ARCPRV,NBK3A NEDBANK LIMITED 11.39% 09/09/20,NBK3A   ,1-3 years NominalCre,000.0000,00000383910,00000429389.18, ,0008.15,00000425464.30,FI00
ARCPRV,NAMIBIA POWER CORP LTD - 24/07/2020  ,NMP20N  ,1-3 years NominalCre,000.0000,00000034291,00000033539.46, ,0008.38,00000035284.08,FI00
ARCPRV,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA018  ,1-3 years NominalCre,000.0000,00000169743,00000192745.93, ,0008.26,00000181928.46,FI00
ARCPRV,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML05   ,1-3 years NominalCre,000.0000,00000160039,00000154300.36, ,0009.71,00000166257.17,FI00
ARCPRV,STD BANK LIMITED 8.87% 24/05/2019    ,SBS25   ,1-3 years NominalCre,000.0000,00000128650,00000126710.90, ,0007.95,00000132953.65,FI00
ARCPRV,SANLAM 8.7% 15/08/2018               ,SLI3    ,1-3 years NominalCre,000.0000,00000076449,00000073588.09,X,0008.33,00000076612.38,FI00
**TOTAL 1-3 years NominalCre                                           ,,,,000.0000,00002626787,00002647778.96, ,       ,00002729737.22,
ARCPRV,ANGLO AMERICAN SA FINANCE LTD 9.49% 1,AA07    ,3-7 years NominalCre,000.0000,00000263859,00000259970.75, ,0009.58,00000271003.80,FI00
ARCPRV,AFRICAN BANK LIMITED 3M JIBAR + 725BP,ABKS1A  ,3-7 years NominalCre,000.0000,00000184211,00000201550.79, ,0019.99,00000161550.89,FI02
ARCPRV,AFRICAN BANK SENIOR TRANSFERABLE STUB,ABL SENT,3-7 years NominalCre,000.0000,00000188195,00000000000.00, ,0019.28,00000094568.13,FI02
ARCPRV,AFRICAN BANK SUBORDINATED STUB       ,ABL SUB ,3-7 years NominalCre,000.0000,00000452059,00000339530.50, ,0040.00,00000000000.00,FI02
ARCPRV,ABSA BANK LTD 9.675% 14/05/2022      ,ABS13A  ,3-7 years NominalCre,000.0000,00000289272,00000272451.34, ,0009.36,00000299249.74,FI00
ARCPRV,AIR02 AIRPORTS COMPANY SA LTD 11.68% ,AIR02   ,3-7 years NominalCre,000.0000,00000066186,00000074259.47, ,0010.10,00000072760.59,FI00
ARCPRV,AIRPORTS COMPANY OF SA 9.25% 29/05/20,AIR04   ,3-7 years NominalCre,000.0000,00000103225,00000101729.03, ,0009.25,00000105067.83,FI00
ARCPRV,BARLOWORLD LIMITED 3MONTH JIBAR+170BP,BAW18   ,3-7 years NominalCre,000.0000,00000053970,00000054176.31, ,0009.05,00000054793.89,FI02
ARCPRV,BARLOW  WORLD 9.295% 24/03/2022      ,BAW21A  ,3-7 years NominalCre,000.0000,00000038792,00000035655.66, ,0009.33,00000040086.28,FI00
ARCPRV,CCT01 CITY OF CAPE TOWN 12.57% 23/06/,CCT01   ,3-7 years NominalCre,000.0000,00000002159,00000002450.90, ,0010.39,00000002396.85,FI00
ARCPRV,CCT02 CITY OF CAPE TOWN 11.615% 12/06,CCT02   ,3-7 years NominalCre,000.0000,00000134036,00000144013.83, ,0010.39,00000144397.06,FI00
ARCPRV,STANDARD BANK CLN ESKOM 10.55% 20/03/,CLN362  ,3-7 years NominalCre,000.0000,00000038792,00000037147.93, ,0009.97,00000041433.59,FI00
ARCPRV,CITY OF JHB 10.78% 23/03/2021        ,COJ07   ,3-7 years NominalCre,000.0000,00000046103,00000047697.49, ,0009.49,00000049758.37,FI00
ARCPRV,CITY OF JHB METRO 10.18% 09/06/2024  ,COJG01  ,3-7 years NominalCre,000.0000,00001100697,00001096391.22, ,0009.86,00001136298.05,FI00
ARCPRV,CITY OF TSHWANE 9.110% 03/04/2023    ,COT01   ,3-7 years NominalCre,000.0000,00000598961,00000528865.88, ,0010.04,00000594433.73,FI00
ARCPRV,DEVELOPMENT BANK OF SA 9.03% 18/06/20,DV2021  ,3-7 years NominalCre,000.0000,00000292785,00000291921.42, ,0009.05,00000296295.61,FI00
ARCPRV,DEV BANK 10.00% 27/02/2023           ,DV23    ,3-7 years NominalCre,000.0000,00000000733,00000000740.48, ,0009.45,00000000783.04,FI00
ARCPRV,DEVELOPMENT BANK OF SA 9.69% 18/02/20,DV24    ,3-7 years NominalCre,000.0000,00000216757,00000210710.12,X,0009.57,00000217489.99,FI00
ARCPRV,FIRSTRAND JBR+170BPS 27/10/2020      ,FRS49   ,3-7 years NominalCre,000.0000,00000027995,00000027969.42, ,0008.78,00000028086.02,FI02
ARCPRV,LIBERTY GROUP LIMITED 9.165% 14/08/20,LGL04   ,3-7 years NominalCre,000.0000,00000002371,00000002331.56,X,0009.23,00000002364.10,FI00
ARCPRV,MMI GROUP LTD 10.065% 17/03/2021     ,MMIG02A ,3-7 years NominalCre,000.0000,00000453532,00000453612.46, ,0009.18,00000483528.97,FI00
ARCPRV,MMI GROUP LTD 10.86% 12/08/2022      ,MMIG05  ,3-7 years NominalCre,000.0000,00000369938,00000348339.24,X,0010.15,00000379736.47,FI00
ARCPRV,NEDBANK 8.92% 28/11/2020             ,NBK11A  ,3-7 years NominalCre,000.0000,00000001759,00000001730.03, ,0008.50,00000001810.89,FI00
ARCPRV,NEDBANK ESKOM CLN 10.49% 20/03/2024  ,NCLN85  ,3-7 years NominalCre,000.0000,00000046550,00000044667.54, ,0010.34,00000048752.01,FI00
ARCPRV,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA022  ,3-7 years NominalCre,000.0000,00000709624,00000845664.74, ,0009.18,00000822125.31,FI00
ARCPRV,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML06   ,3-7 years NominalCre,000.0000,00000255693,00000236380.01, ,0010.48,00000264420.70,FI00
ARCPRV,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML09   ,3-7 years NominalCre,000.0000,00000300149,00000292411.39, ,0010.47,00000318242.10,FI00
ARCPRV,RAND WATER 9.97% 21/04/2021          ,RW21    ,3-7 years NominalCre,000.0000,00000032190,00000033072.74, ,0009.15,00000033959.32,FI00
ARCPRV,RAND WATER 9.51% 10/12/2023          ,RW23    ,3-7 years NominalCre,000.0000,00000601881,00000601004.63, ,0009.58,00000609151.24,FI00
ARCPRV,SBS19 STANDARD BANK OF SA 10.18% 23/0,SBS19   ,3-7 years NominalCre,000.0000,00000038796,00000037752.71, ,0008.36,00000041592.02,FI00
ARCPRV,STANDARD BANK LTD 10.13% 20/02/2024  ,SBS27   ,3-7 years NominalCre,000.0000,00001170502,00001165213.15, ,0009.15,00001281589.08,FI00
ARCPRV,STD 8.60% 16/11/2021                 ,SBS4    ,3-7 years NominalCre,000.0000,00000008730,00000007973.78, ,0008.80,00000008840.36,FI00
ARCPRV,TRANSNET LIMITED 10.5% 17/09/2020    ,TN20    ,3-7 years NominalCre,000.0000,00000340813,00000353441.04, ,0008.76,00000370686.90,FI00
ARCPRV,TRANSNET LIMITED 10.80% 06/11/2023   ,TN23    ,3-7 years NominalCre,000.0000,00000359224,00000376663.35, ,0009.42,00000392135.60,FI00
ARCPRV,UMGENI 10.70% 020321                 ,UG21    ,3-7 years NominalCre,000.0000,00000175980,00000188546.97, ,0009.08,00000192668.45,FI00
**TOTAL 3-7 years NominalCre                                           ,,,,000.0000,00008966519,00008716037.88, ,       ,00008862056.98,
ARCPRV,ABSA 8.80% 11/09/2026                ,ABS7    ,7-12 years NominalCr,000.0000,00000021480,00000019511.49, ,0009.91,00000020844.76,FI00
ARCPRV,CITY OF CAPE TOWN 11.16% 15/03/2025  ,CCT03   ,7-12 years NominalCr,000.0000,00001101494,00001187651.99, ,0010.46,00001190103.13,FI00
ARCPRV,CITY OF JOHANNESBURG METROPOLITAN 11.,COJ08   ,7-12 years NominalCr,000.0000,00003256619,00003256619.00, ,0010.56,00003469870.14,FI00
ARCPRV,DEVELOPMENT BANK OF SA 10.10% 18/02/2,DV29    ,7-12 years NominalCr,000.0000,00000660408,00000656369.02,X,0011.02,00000619675.42,FI00
ARCPRV,EKURULNI METROPOLITAN MUNICIPALITY 10,EMM06A  ,7-12 years NominalCr,000.0000,00000533210,00000517203.19, ,0010.37,00000536634.52,FI00
ARCPRV,FIRSTRAND 10.75% 10/12/2024          ,FRX24   ,7-12 years NominalCr,000.0000,00000647133,00000649498.32, ,0009.20,00000711049.81,FI00
ARCPRV,INDUSTRIAL DEVELOPMENT CORPORATION 9.,IDCG06  ,7-12 years NominalCr,000.0000,00000524865,00000470797.74, ,0010.41,00000512524.43,FI00
ARCPRV,KOMATI RIVER BASIN AUTHORITY 13.50% 3,KW01    ,7-12 years NominalCr,000.0000,00000001607,00000001990.14, ,0008.96,00000002148.01,FI00
ARCPRV,NEDBANK LIMITED 9.440% 12/02/2025    ,NBK16A  ,7-12 years NominalCr,000.0000,00000319716,00000316938.93,X,0010.26,00000305973.07,FI00
ARCPRV,NEDBANK 10.36% 01/06/2026            ,NBK20A  ,7-12 years NominalCr,000.0000,00001321977,00001261823.36, ,0009.96,00001377961.67,FI00
ARCPRV,NEDBANK LIMITED 10.50% 31/07/2026    ,NBK29A  ,7-12 years NominalCr,000.0000,00001138066,00001138066.00, ,0010.26,00001156709.34,FI00
ARCPRV,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA028  ,7-12 years NominalCr,000.0000,00000428742,00000456514.99, ,0011.06,00000471101.50,FI00
ARCPRV,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML10   ,7-12 years NominalCr,000.0000,00000570926,00000557125.89, ,0011.46,00000593584.51,FI00
ARCPRV,RAND WATER 10.245% 10/12/2028        ,RW28    ,7-12 years NominalCr,000.0000,00001051255,00001005623.59, ,0010.92,00001023081.79,FI00
ARCPRV,STD LIMITED 10.05% 15/05/2026        ,SBS20B  ,7-12 years NominalCr,000.0000,00000877811,00000874510.52, ,0009.67,00000917855.51,FI00
ARCPRV,STD 8.2% 25/05/2026                  ,SBS3    ,7-12 years NominalCr,000.0000,00000792083,00000683536.03, ,0009.84,00000730223.30,FI00
ARCPRV,STANDARD BANK LTD 9.785% 12/06/2027  ,SBS31   ,7-12 years NominalCr,000.0000,00002908663,00002828439.46, ,0009.89,00002934092.28,FI00
ARCPRV,STD BANK 10.64% 12/11/2025           ,SBS42   ,7-12 years NominalCr,000.0000,00001125560,00001117950.94, ,0009.52,00001225511.64,FI00
ARCPRV,TRANSNET LIMITED 9.5% 19/08/2025     ,TN25    ,7-12 years NominalCr,000.0000,00000606681,00000600428.91, ,0010.40,00000604620.10,FI00
ARCPRV,TRANSNET LIMITED 8.90% 14/11/2027    ,TN27    ,7-12 years NominalCr,000.0000,00000515789,00000479424.01, ,0010.55,00000473901.67,FI00
ARCPRV,UG26 UMGENI WATER 11.31% 09/03/2026  ,UG26    ,7-12 years NominalCr,000.0000,00001727109,00001727109.00, ,0010.53,00001882897.69,FI00
**TOTAL 7-12 years NominalCr                                           ,,,,000.0000,00020131194,00019807132.52, ,       ,00020760364.29,
ARCPRV,AFRICAN BANK LIMITED CPI 3.20% 13/10/,ABKI03M7,3-7 years Credit IL ,000.0000,00001341600,00001341823.68, ,0007.66,00001467522.84,FI04
ARCPRV,SA NATIONAL ROAD AGENCY LTD 5.00% 31/,NRA023M7,3-7 years Credit IL ,000.0000,00001469429,00002592730.17, ,0003.64,00002572849.69,FI04
ARCPRV,STANDARD BANK 5.5% CPI LINKED NOTE 07,SBSI11M7,3-7 years Credit IL ,000.0000,00003415087,00009500826.67, ,0003.89,00009340580.21,FI04
**TOTAL 3-7 years Credit IL                                            ,,,,000.0000,00006226116,00013435380.52, ,       ,00013380952.74,
ARCPRV,AIRPORTS COMPANY SOUTH AFRICA CPI BON,AIRL01M7,7-12 years Credit IL,000.0000,00004962388,00008511720.14, ,0003.48,00008722150.20,FI04
ARCPRV,FIRSTRAND BANK CPI LINKED 2% 31/01/20,FRBI25M7,7-12 years Credit IL,000.0000,00001028866,00001196780.22, ,0003.58,00001219051.16,FI04
**TOTAL 7-12 years Credit IL                                           ,,,,000.0000,00005991254,00009708500.36, ,       ,00009941201.36,
ARCPRV,FIRSTRAND BANK CPI 2.25% 31/01/2038  ,FRS119M7,Over 12 years CredIL,000.0000,00001783896,00001944008.69, ,0003.33,00001982204.76,FI04
